Source,Target,Type
TProto.Travel_App_Backend_Api_Weekend_V1_OtherRoute.OneOf_Route,TProto.Travel_App_Backend_Api_Weekend_V1_TrainRoute,directed
TProto.Travel_App_Backend_Api_Weekend_V1_OtherRoute.OneOf_Route,TProto.Travel_App_Backend_Api_Weekend_V1_AviaRoute,directed
TProto.Travel_App_Backend_Api_Hotels_V1_SuggestItemExt0,TProto.Travel_App_Backend_Api_Hotels_V1_SuggestItem,directed
TProto.Travel_App_Backend_Api_Hotels_V1_Categories,TProto.Travel_App_Backend_Api_Hotels_V1_CategoriesExt0,directed
TWebView.WebViewGraphExt0,TWebView.WebViewRepresentable,directed
TWebView.WebViewGraphExt0,TWebView.WebViewInterceptingStrategy,directed
TWebView.WebViewGraphExt0,TWebView.WebViewMessageHandlingStrategy,directed
TWebView.WebViewGraphExt0,TUIComponents.InaccessibleContentPlaceholder,directed
TWebView.WebViewGraphExt0,TUIComponents.PlainButton,directed
TWebView.WebViewGraphExt0,TLocalization.TLocalizationStrings,directed
TWebView.WebViewGraphExt0,TWebView.WebViewGraphExt0.Config,directed
TWebView.WebViewGraphExt0,TWebView.PortalWebViewConfig,directed
TWebView.WebViewGraphExt0,TWebView.WebViewError,directed
TWebView.WebViewGraphExt0,TUIUtils.Callbacks,directed
TWebView.WebViewGraphExt0,TSnackbar.SnackbarStateMachine,directed
TWebView.WebViewGraphExt0,TWebView.WebViewContainer,directed
Travel.DiscoveryTripView_Previews,Travel.DiscoveryTripView_Previews.PreviewModifier,directed
Travel.DiscoveryTripView_Previews,TTripsAPI.TripSmallView,directed
TCheckout.CommentToHotelViewExt0,TCheckout.CommentToHotelViewExt0.Model,directed
TAdjust.StubAdjustFacading,TAdjust.AdjustEvent,directed
TProto.Google_Rpc_HelpExt0,TProto.Google_Rpc_Help,directed
TReviewToHotel.ReviewToHotelButtonsViewExt0,TReviewToHotel.ReviewToHotelButtonsViewExt0.Model,directed
THotelDetailsMap.PlaceDetailsViewExt0,TGallery.ImageSliderContainer,directed
THotelDetailsMap.PlaceDetailsViewExt0,THotelDetailsMap.PlaceAmenityView,directed
THotelDetailsMap.PlaceDetailsViewExt0,THotelDetailsMap.PlaceDetailsViewExt0.Model,directed
THotelDetailsMap.PlaceDetailsViewExt0,TLocalization.TLocalizationStrings,directed
THotelDetailsMap.PlaceDetailsViewExt0,THotelDetailsMap.PanoramaView,directed
THotelDetailsMap.PlaceDetailsViewExt0,THotelDetailsMap.PlaceDetailsHeaderView,directed
THotelDetailsMap.PlaceDetailsViewExt0,TGallery.ImageSliderContainerModel,directed
THotelDetailsMap.PlaceDetailsViewExt0,THotelDetailsMap.PlaceDetailsViewExt0.ViewState,directed
THotelDetailsMap.PlaceDetailsViewExt0,TUIComponents.PlainButton,directed
TInputs.CommonInputsSuggestItem,TInputs.CommonInputsSuggestItemExt0,directed
TProto.Travel_App_Backend_Api_Hotelorder_V1_GuestAllocationExt0,TProto.Travel_App_Backend_Api_Hotelorder_V1_GuestAllocation,directed
TravelUnitTests.FinalStoryStoreTests,TTripSummaryAPI.TripSummaryFinalStoryModel,directed
TravelUnitTests.FinalStoryStoreTests,TravelUnitTests.FinalStoryStoreTestsExt1,directed
TravelUnitTests.FinalStoryStoreTests,TStories.StoriesViewStateMachine,directed
TravelUnitTests.FinalStoryStoreTests,TTripSummary.FinalStoryState,directed
TravelUnitTests.FinalStoryStoreTests,TravelUnitTests.FinalStoryStoreTestsExt0,directed
TravelUnitTests.FinalStoryStoreTests,TTripSummary.FinalStoryEffectHandler,directed
TTravelMap.PlaceSearchSuggestView_Previews,TTravelMap.PlaceSearchSuggestView,directed
TTravelMap.PlaceSearchSuggestView_Previews,TTravelMap.PlaceSearchSuggestView_Previews.PreviewModifier,directed
TReviewToHotel.ReviewToHotelButtonsView_Previews,TReviewToHotel.ReviewToHotelButtonsView,directed
TReviewToHotel.ReviewToHotelButtonsView_Previews,TUIUtils.IdentityViewModifier,directed
TInputs.DatesSelectionView,TInputs.SmallInformationButtonView,directed
TInputs.DatesSelectionView,TUIUtils.Callbacks,directed
TInputs.DatesSelectionView,TInputs.TravelFlow,directed
TInputs.DatesSelectionView,TLocalization.TLocalizationStrings,directed
TProto.Travel_App_Backend_Api_Promo_V1_PopularQuestion,TProto.Travel_App_Backend_Api_Promo_V1_PopularQuestionExt0,directed
Travel.HotelReviewFiltersViewExt0,Travel.HotelReviewFiltersViewExt0.Model,directed
TCheckout.DeferredPaymentOptionsViewExt0,TCheckout.DeferredPaymentOptionsViewExt0.Model,directed
TNotificationsInContext.NotificationsRequestSchedulerExt0,TNotificationsInContextAPI.NotificationsRequestSchedule,directed
TNotificationsInContext.NotificationsRequestSchedulerExt0,TNotificationsRegisterer.NotificationsStatus,directed
TTrips.TripGuideSelectCityViewExt0,TTrips.TripGuideSelectCityViewExt0.Model,directed
TTrips.TripGuideSelectCityViewExt0,TTrips.TripGuideCityModel,directed
TProto.Travel_App_Backend_Api_Trips_V1_WeekendQueryExt0,TProto.Travel_App_Backend_Api_Trips_V1_WeekendQuery,directed
TProto.Travel_App_Backend_Api_Hotels_V1_GetHotelInfoRspExt0._StorageClass,TProto.Travel_App_Backend_Api_Hotels_V1_Hotel,directed
TProto.Travel_App_Backend_Api_Hotels_V1_GetHotelInfoRspExt0._StorageClass,TProto.Travel_App_Backend_Api_Hotels_V1_RatingsInfo,directed
TProto.Travel_App_Backend_Api_Hotels_V1_GetHotelInfoRspExt0._StorageClass,TProto.Travel_App_Backend_Api_Hotelscommon_V1_OfferSearchParams,directed
TProto.Travel_App_Backend_Api_Hotels_V1_GetHotelInfoRspExt0._StorageClass,TProto.Travel_App_Backend_Api_Hotels_V1_ReviewsRsp,directed
TProto.Travel_App_Backend_Api_Hotels_V1_GetHotelInfoRspExt0._StorageClass,TProto.Travel_App_Backend_Api_Hotelscommon_V1_LoyaltyInfo,directed
TProto.Travel_App_Backend_Api_Hotels_V1_GetHotelInfoRspExt0._StorageClass,TProto.Travel_App_Backend_Api_Hotels_V1_OffersInfo,directed
TTrips.BookingViewExt0.Model,TUIComponents.PlainButton,directed
TTrips.BookingViewExt0.Model,TTrips.GeneralInfoView,directed
TTrips.BookingViewExt0.Model,TUIUtils.Callbacks,directed
TFilters.FilterBlockContainer,TUIComponents.FilterOption,directed
TFilters.FilterBlockContainer,TUIComponents.Chip,directed
TFilters.FilterBlockContainer,TFilters.FilterBlockState,directed
TFilters.FilterBlockContainer,TFilters.FilterBlockView,directed
TFilters.FilterBlockContainer,TFilters.FilterBlockEffectHandler,directed
THotelDetailsMap.ParkingLayerAdapter,THotelDetailsMap.ParkingLayerAdapterExt0,directed
THotelDetailsMap.ParkingLayerAdapter,THotelDetailsMap.HotelMapStateMachine,directed
THotelDetailsMap.ParkingLayerAdapter,THotelDetailsMap.ParkingLayerAdapterExt1,directed
